Modelo,A�o,Precio,Caracter�sticas,ID
Toyota Corolla,2022,25000,"Sedan, Automatico, 4 puertas",M001
Ford Fiesta,2021,20000,"Hatchback, Manual, 5 puertas",M002
Honda Civic,2023,30000,"Sedan, Autom�tico, 4 puertas",M003
Chevrolet Onix,2020,18000,"Hatchback, Manual, 5 puertas",M004
Nissan Sentra,2022,27000,"Sedan, Automatico, 4 puertas",M005
Kia Seltos,2023,32000,"SUV, Automatico, 5 puertas",M006
Mazda CX-30,2021,35000,"SUV, Automatico, 5 puertas",M007
Renault Kwid,2020,15000,"Hatchback, Manual, 5 puertas",M008
Fiat Cronos,2022,22000,"Sedan, Manual, 4 puertas",M009
Suzuki Vitara,2023,34000,"SUV, Automatico, 5 puertas",M010
Ford Raptor,2023,30000,"4x4, Automatico, 4 puertas",M011
Ford Hilux,2020,20000,"404, Manual, 4 puertas",M012
